"Year","PgCO2_per_year_to_atmos_global_all_depths","PgCO2_per_year_to_atmos_global_200m_less","PgCO2_per_year_to_atmos_global_200m_greater","PgCO2_per_year_to_atmos_global_400m_greater"
30,1.35474338313806,1.23106481648113,0.123678566656917,0.0406093306286282
31,1.35646673061107,1.23156822330418,0.124898507306772,0.0411045464776491
32,1.35813849740864,1.2320415260727,0.126096971335951,0.0415940028414028
33,1.35976107566932,1.23248731934079,0.127273756328453,0.0420782418643845
34,1.36133499462744,1.23290785264003,0.128427141987397,0.0425562263899187
35,1.36286154211975,1.23330509331171,0.129556448808086,0.0430278788153765
36,1.36434185768662,1.23368077600733,0.130661081679329,0.0434931098164815
37,1.36577699095166,1.23403644194936,0.131740549002251,0.0439518288463681
38,1.36716793974272,1.23437347032504,0.132794469417793,0.0444039473256646
39,1.36851568303236,1.23469310340384,0.133822579628502,0.0448493869502279
40,1.3698212021357,1.23499646704093,0.13482473509495,0.0452880835853344
41,1.37108548969252,1.23528458725924,0.135800902433376,0.0457199861972544
42,1.37230955013424,1.23555840383515,0.136751146299083,0.0461450514507995
43,1.37349441473056,1.23581878146945,0.13767563326113,0.0465632550305168
44,1.37464113825191,1.23606651900623,0.138574619245706,0.0469745886017693
45,1.37575079604802,1.2363023570817,0.139448438966359,0.0473790584689795
46,1.37682448032064,1.23652698449366,0.140297495826942,0.0477766846051922
47,1.37786329600574,1.23674104355132,0.141122252454473,0.0481674999923294
48,1.37886835584432,1.23694513452618,0.141923221318119,0.0485515495718896
49,1.37984077487704,1.23713981949336,0.142700955383659,0.0489288886492768
50,1.38078167833232,1.23732563941608,0.143456038916201,0.0492995807997765
51,1.38169216183885,1.23750307923043,0.144189082608406,0.0496636994214561
52,1.38257331496889,1.2376725999162,0.144900715052692,0.0500213249473771
53,1.38342621760284,1.2378346391583,0.145591578444573,0.0503725456175185
54,1.38425193072792,1.23798960893473,0.146262321793284,0.0507174551135541
55,1.3850514900444,1.23813789719934,0.146913592845126,0.0510561482989969
56,1.385825918679,1.23827987843625,0.147546040242744,0.0513887266310944
57,1.38657622800728,1.23841591823822,0.148160309769059,0.0517152971399724
58,1.38730334950357,1.23854631002199,0.148757039481555,0.0520359698283565
59,1.38800823938832,1.23867135958784,0.149336879800523,0.0523508796033206
60,1.38869177143328,1.23879135512669,0.149900416306636,0.0526601105417274
61,1.38935481248009,1.23890656823228,0.150448244247913,0.0529637715329223
62,1.38999820103534,1.23901725485032,0.150980946185061,0.0532619747693985
63,1.3906227439317,1.23912365617033,0.151499087761365,0.053554832108988
64,1.39122921705075,1.2392259994666,0.15200321758426,0.0538424553309056
65,1.3918183667129,1.23932449889405,0.152493867818923,0.054124956597084
66,1.39239090736932,1.23941935623963,0.15297155112966,0.0544024458194329
67,1.39294752333193,1.23951076163444,0.153436761697576,0.0546750323209331
68,1.39348887089679,1.23959889422843,0.153889976668389,0.0549428246727489
69,1.39401557769074,1.23968392283206,0.154331654858709,0.0552059296740488
70,1.39452824542334,1.2397660065221,0.154762238901085,0.0554644541211655
71,1.39502744697472,1.23984529519671,0.155182151778021,0.0557185009079412
72,1.39551372971124,1.23992193014172,0.155591799569638,0.0559681712950648
73,1.39598761706383,1.23999604453472,0.155991572529153,0.0562135654740174
74,1.39644960873827,1.24006776393084,0.156381844807454,0.0564547817566903
75,1.39690018167588,1.24013720671988,0.156762974956091,0.0566919165281025
76,1.39733979147978,1.24020448455885,0.157135306920963,0.0569250646816393
77,1.39776887370397,1.24026970277981,0.157499170924042,0.0571543199401036
