"Year","PgCO2_to_atmos_cumulative_global_alldepths","PgCO2_to_atmos_cumulative_global_200m_less","PgCO2_to_atmos_cumulative_global_200m_greater","PgCO2_to_atmos_cumulative_global_400m_greater","PgCO2_to_atmos_cumulative_global_alldepths_unadjusted","PgCO2_to_atmos_cumulative_global_200m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_400m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_200m_less_unadjusted"
32,18.279767506289,16.8575718473557,1.42219565893349,0.444896316247606,20.8002656512431,4.58009655183933,2.30574372615347,16.2713645896542
33,18.8225305407299,17.3480654930342,1.47446504769587,0.462308290441026,21.3857567812086,4.70901826613133,2.37064638279602,16.729375068915
34,19.3658470191248,17.8386854035797,1.52716161554526,0.47990179096223,21.9712479052889,4.83793997912746,2.43554903878618,17.187385543572
35,19.9097005538724,18.3294258568073,1.58027469706534,0.497674111483667,22.5567390260147,4.96686169138494,2.50045169440449,17.6453960156048
36,20.4540748483381,18.8202813452791,1.6337935030593,0.515622537990808,23.1422301448284,5.09578340322139,2.56535434981085,18.1034064861419
37,20.9989537625561,19.3112465869662,1.68770717559007,0.533744335600465,23.7277212625522,5.22470511481785,2.63025700509639,18.5614169558264
38,21.5443213734346,19.8023165296651,1.74200484376984,0.552036744028379,24.3132123796547,5.35362682627752,2.69515966031306,19.0194274250249
39,22.0901620331622,20.2934863509419,1.79667568222054,0.570496983649707,24.8987034964032,5.48254853765922,2.76006231549048,19.4774378939465
40,22.6364604204749,20.7847514552071,1.85170896526818,0.589122264603612,25.4841946129498,5.61147024899647,2.82496497064553,19.9354483627101
41,23.1832015792612,21.276107468736,1.9070941105256,0.60790979333584,26.0696857293814,5.74039196030839,2.88986762578782,20.3934588313837
42,23.7303709429687,21.7675502333558,1.96282070961334,0.626856773164354,26.6551768457474,5.86931367160587,2.95477028092284,20.8514693000061
43,24.2779543655781,22.2590757992796,2.01887856629888,0.645960417238519,27.240667962076,5.99823538289512,3.01967293605372,21.3094797685992
